Date,Inflation Rate, Annual % Change
12/31/1960,1.4388,
12/31/1961,1.8454,0.41
12/31/1962,4.316,2.47
12/31/1963,3.4402,-0.88
12/31/1964,3.0806,-0.36
12/31/1965,3.4145,0.33
12/31/1966,4.776,1.36
12/31/1967,4.0052,-0.77
12/31/1968,2.3958,-1.61
12/31/1969,2.489,0.09
12/31/1970,3.616,1.13
12/31/1971,6.5732,2.96
12/31/1972,6.66,0.09
12/31/1973,8.7547,2.09
12/31/1974,9.7674,1.01
12/31/1975,6.6966,-3.07
12/31/1976,1.7155,-4.98
12/31/1977,1.296,-0.42
12/31/1978,1.0288,-0.27
12/31/1979,3.6476,2.62
12/31/1980,4.0225,0.37
12/31/1981,6.4903,2.47
12/31/1982,5.6551,-0.84
12/31/1983,2.9498,-2.71
12/31/1984,2.9315,-0.02
12/31/1985,3.4354,0.5
12/31/1986,0.7503,-2.69
12/31/1987,1.4403,0.69
12/31/1988,1.8725,0.43
12/31/1989,3.1553,1.28
12/31/1990,5.404,2.25
12/31/1991,5.8596,0.46
12/31/1992,4.037,-1.82
12/31/1993,3.2926,-0.74
12/31/1994,0.8521,-2.44
12/31/1995,1.7998,0.95
12/31/1996,0.8116,-0.99
12/31/1997,0.5202,-0.29
12/31/1998,0.0179,-0.5
12/31/1999,0.8064,0.79
12/31/2000,1.5585,0.75
12/31/2001,0.989,-0.57
12/31/2002,0.6427,-0.35
12/31/2003,0.6383,0
12/31/2004,0.8029,0.16
12/31/2005,1.172,0.37
12/31/2006,1.0595,-0.11
12/31/2007,0.7324,-0.33
12/31/2008,2.426,1.69
12/31/2009,-0.4805,-2.91
12/31/2010,0.6882,1.17
12/31/2011,0.2313,-0.46
12/31/2012,-0.6926,-0.92
12/31/2013,-0.2173,0.48
12/31/2014,-0.0132,0.2
12/31/2015,-1.1439,-1.13
12/31/2016,-0.4346,0.71
12/31/2017,0.5338,0.97
12/31/2018,0.9363,0.4
12/31/2019,0.3629,-0.57
12/31/2020,-0.7259,-1.09
12/31/2021,0.5818,1.31
12/31/2022,2.835,2.25
12/31/2023,2.1354,-0.7
